"","num_arms","outcome_type","n1","n2","mean1","mean2","sd1","sd2","trteff1","trteff2","MEM_power","MEMr_power","pval_power","MEMcutoff","pvalcutoff"
"1",1,"binary",100,100,0.1,0.1,NA,NA,NA,NA,0.049,0.0496,0.0534,"calibrated",0.05
"2",1,"binary",100,100,0.1,0.2,NA,NA,NA,NA,0.5534,0.5008,0.5165,"calibrated",0.05
"3",1,"binary",100,100,0.1,0.3,NA,NA,NA,NA,0.9649,0.9497,0.9529,"calibrated",0.05
"4",1,"binary",100,100,0.1,0.4,NA,NA,NA,NA,0.9999,0.9997,0.9997,"calibrated",0.05
"5",1,"binary",100,100,0.1,0.5,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"6",1,"binary",150,150,0.1,0.1,NA,NA,NA,NA,0.0485,0.0498,0.0492,"calibrated",0.05
"7",1,"binary",150,150,0.1,0.2,NA,NA,NA,NA,0.7299,0.7012,0.6964,"calibrated",0.05
"8",1,"binary",150,150,0.1,0.3,NA,NA,NA,NA,0.9961,0.9944,0.9939,"calibrated",0.05
"9",1,"binary",150,150,0.1,0.4,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"10",1,"binary",150,150,0.1,0.5,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"11",1,"binary",200,200,0.1,0.1,NA,NA,NA,NA,0.0482,0.0496,0.0547,"calibrated",0.05
"12",1,"binary",200,200,0.1,0.2,NA,NA,NA,NA,0.8294,0.8014,0.8084,"calibrated",0.05
"13",1,"binary",200,200,0.1,0.3,NA,NA,NA,NA,0.999,0.9986,0.9987,"calibrated",0.05
"14",1,"binary",200,200,0.1,0.4,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"15",1,"binary",200,200,0.1,0.5,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"16",1,"binary",250,250,0.1,0.1,NA,NA,NA,NA,0.0496,0.0499,0.0545,"calibrated",0.05
"17",1,"binary",250,250,0.1,0.2,NA,NA,NA,NA,0.8995,0.8831,0.8884,"calibrated",0.05
"18",1,"binary",250,250,0.1,0.3,NA,NA,NA,NA,0.9999,0.9998,0.9998,"calibrated",0.05
"19",1,"binary",250,250,0.1,0.4,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"20",1,"binary",250,250,0.1,0.5,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"21",1,"binary",300,300,0.1,0.1,NA,NA,NA,NA,0.0493,0.05,0.052,"calibrated",0.05
"22",1,"binary",300,300,0.1,0.2,NA,NA,NA,NA,0.9377,0.9281,0.9296,"calibrated",0.05
"23",1,"binary",300,300,0.1,0.3,NA,NA,NA,NA,1,1,1,"calibrated",0.05
"24",1,"binary",300,300,0.1,0.4,NA,NA,NA,NA,1,1,1,"calibrated",0.05
